"","Sample","cluster"
"AAGA12","AAGA12",1
"AAGA14","AAGA14",1
"AAGA15","AAGA15",1
"AAGA17","AAGA17",1
"AAGA18","AAGA18",1
"AAGA19","AAGA19",1
"AAGA1","AAGA1",2
"AAGA20","AAGA20",1
"AAGA21","AAGA21",1
"AAGA23","AAGA23",1
"AAGA25","AAGA25",1
"AAGA26","AAGA26",1
"AAGA2","AAGA2",2
"AAGA33","AAGA33",1
"AAGA35","AAGA35",1
"AAGA39","AAGA39",1
"AAGA3","AAGA3",1
"AAGA40","AAGA40",1
"AAGA41","AAGA41",1
"AAGA42","AAGA42",1
"AAGA4","AAGA4",2
"AAGA5","AAGA5",2
"AAGA6","AAGA6",2
"AAGA7","AAGA7",1
"AAGA9","AAGA9",1
