"","Sample","cluster"
"1","MCAV1","MC21"
"2","MCAV11","MC7"
"3","MCAV18","MC7"
"4","MCAV19","MC30"
"5","MCAV2","MC7"
"6","MCAV20","MC32"
"7","MCAV21","MC30"
"8","MCAV22","MC32"
"9","MCAV23","MC4"
"10","MCAV24","MC4"
"11","MCAV28","MC7"
"12","MCAV29","MC7"
"13","MCAV3","MC21"
"14","MCAV30","MC25"
"15","MCAV31","MC32"
"16","MCAV34","MC32"
"17","MCAV35","MC4"
"18","MCAV36","MC7"
"19","MCAV4","MC32"
"20","MCAV40","MC7"
"21","MCAV41","MC7"
"22","MCAV42","MC7"
"23","MCAV43","MC7"
"24","MCAV46","MC4"
"25","MCAV48","MC7"
"26","MCAV5","MC4"
"27","MCAV50","MC4"
"28","MCAV53","MC7"
"29","MCAV6","MC7"
"30","MCAV7","MC4"
"31","MCAV8","MC7"
"32","MCAV15","MC7"
"33","MCAV33","MC7"
"34","MCAV39","MC7"
"35","MCAV51","MC7"
