"","Sample","cluster"
"OFAV10","OFAV10",1
"OFAV13","OFAV13",1
"OFAV16","OFAV16",1
"OFAV18","OFAV18",1
"OFAV1","OFAV1",2
"OFAV20","OFAV20",1
"OFAV23","OFAV23",1
"OFAV24","OFAV24",2
"OFAV25","OFAV25",2
"OFAV30","OFAV30",2
"OFAV34","OFAV34",2
"OFAV35","OFAV35",2
"OFAV39","OFAV39",2
"OFAV42","OFAV42",2
"OFAV46","OFAV46",2
"OFAV48","OFAV48",2
"OFAV4","OFAV4",2
"OFAV54","OFAV54",1
"OFAV59","OFAV59",1
"OFAV61","OFAV61",2
"OFAV62","OFAV62",2
"OFAV65","OFAV65",2
"OFAV66","OFAV66",2
"OFAV67","OFAV67",2
"OFAV68","OFAV68",2
"OFAV70","OFAV70",2
"OFAV71","OFAV71",2
"OFAV72","OFAV72",1
"OFAV87","OFAV87",1
"OFAV75","OFAV75",1
"OFAV85","OFAV85",1
"OFAV77","OFAV77",1
"OFAV78","OFAV78",1
"OFAV79","OFAV79",1
"OFAV81","OFAV81",1
"OFAV82","OFAV82",1
"OFAV83","OFAV83",1
"OFAV86","OFAV86",1
"OFAV90","OFAV90",1
"OFAV91","OFAV91",1
"OFAV92","OFAV92",1
"OFAV93","OFAV93",1
"OFAV94","OFAV94",1
"OFAV95","OFAV95",1
"OFAV96","OFAV96",1
"OFAV97","OFAV97",1
"OFAV98","OFAV98",1
