"","Sample","cluster"
"1","PAST11",1
"2","PAST12",1
"3","PAST15",1
"4","PAST16",1
"5","PAST19",1
"6","PAST1",1
"7","PAST20",1
"7","PAST21",1
"8","PAST22",1
"8","PAST24",1
"9","PAST25",1
"10","PAST26",1
"11","PAST29",1
"12","PAST2",1
"12","PAST3",1
"11","PAST32",1
"13","PAST33",1
"14","PAST34",2
"14","PAST36",2
"15","PAST37",2
"16","PAST38",2
"17","PAST39",2
"18","PAST40",2
"19","PAST41",2
"20","PAST42",2
"21","PAST43",2
"22","PAST44",1
"22","PAST45",1
"23","PAST46",1
"24","PAST47",1
"25","PAST49",1
"26","PAST4",1
"27","PAST50",1
"28","PAST51",1
"29","PAST52",1
"30","PAST53",1
"31","PAST54",1
"31","PAST55",1
"32","PAST56",1
"33","PAST57",1
"34","PAST59",1
"35","PAST5",1
"36","PAST60",1
"36","PAST61",1
"37","PAST6",1
"37","PAST7",1
"38","PAST9",1
