Sample,Site
PAST1,Butler Bay
PAST2,Butler Bay
PAST3,Butler Bay
PAST4,Butler Bay
PAST5,Butler Bay
PAST6,Deep end
PAST7,Deep end
PAST8,Deep end
PAST9,Deep end
PAST10,Deep end
PAST11,Deep end
PAST12,Isaac Bay
PAST13,Isaac Bay
PAST14,Isaac Bay
PAST15,Isaac Bay
PAST16,Isaac Bay
PAST17,Isaac Bay
PAST18,Isaac Bay
PAST19,Isaac Bay
PAST20,Isaac Bay
PAST21,Isaac Bay
PAST22,Isaac Bay
PAST23,Isaac Bay
PAST24,Deep end
PAST25,Deep end
PAST26,Deep end
PAST27,Deep end
PAST28,The Palms
PAST29,The Palms
PAST30,The Palms
PAST31,The Palms
PAST32,The Palms
PAST33,The Palms
PAST34,Cane Bay
PAST35,Cane Bay
PAST36,Cane Bay
PAST37,Cane Bay
PAST38,Cane Bay
PAST39,Cane Bay
PAST40,Cane Bay
PAST41,Cane Bay
PAST42,Cane Bay
PAST43,Cane Bay
PAST44,Butler Bay
PAST45,Butler Bay
PAST46,Butler Bay
PAST47,Butler Bay
PAST48,Fredericksted Pier
PAST49,Fredericksted Pier
PAST50,Fredericksted Pier
PAST51,Fredericksted Pier
PAST52,Fredericksted Pier
PAST53,Fredericksted Pier
PAST54,Fredericksted Pier
PAST55,Fredericksted Pier
PAST56,Cane Bay
PAST57,Cane Bay
PAST58,Cane Bay
PAST59,Cane Bay
PAST60,Cane Bay
PAST61,Cane Bay
PSTR1,Deep end
PSTR2,Isaac Bay
PSTR3,Isaac Bay
PSTR4,Isaac Bay
PSTR5,Isaac Bay
PSTR6,Isaac Bay
PSTR7,Isaac Bay
PSTR8,Isaac Bay
PSTR9,Isaac Bay
PSTR10,Isaac Bay
PSTR11,Columbus landing
PSTR12,Deep end
PSTR13,Deep end
PSTR14,Deep end
PSTR15,Deep end
PSTR16,Deep end
PSTR17,Deep end
PSTR18,The Palms
PSTR19,The Palms
PSTR20,The Palms
PSTR21,The Palms
PSTR22,The Palms
PSTR23,The Palms
PSTR24,The Palms
PSTR25,The Palms
PSTR26,The Palms
PSTR27,The Palms
PSTR28,Butler Bay
PSTR29,Butler Bay
PSTR30,Butler Bay
PSTR31,Butler Bay
PSTR32,Butler Bay
PSTR33,WAPA
PSTR34,WAPA
PSTR35,WAPA
PSTR36,WAPA
PSTR37,Butler Bay
PSTR38,Butler Bay
PSTR39,Butler Bay
PSTR40,Butler Bay
PSTR41,Butler Bay
PSTR42,Butler Bay
PSTR43,Butler Bay
PSTR44,Butler Bay
PSTR45,Butler Bay
PSTR46,Fredericksted Pier
PSTR47,Fredericksted Pier
PSTR48,Fredericksted Pier
PSTR49,Fredericksted Pier
PSTR50,Fredericksted Pier
PSTR51,Fredericksted Pier
PSTR52,Deep end
PSTR53,Deep end
PSTR54,Deep end
PSTR55,Deep end
PSTR56,Deep end
PSTR57,Deep end
PSTR58,Deep end
PSTR59,Deep end
PSTR60,Deep end
PSTR61,Joe's Reef
PSTR62,Joe's Reef
PSTR63,Joe's Reef
PSTR64,Joe's Reef
PSTR65,Joe's Reef
PSTR66,Joe's Reef
PSTR67,Joe's Reef
PSTR68,Joe's Reef
PSTR69,Joe's Reef
PSTR70,Channel Rock
PSTR71,Channel Rock
PSTR72,Channel Rock
PSTR73,Channel Rock
PSTR74,Channel Rock
PSTR75,North Star
PSTR76,North Star
PSTR77,North Star
PSTR78,North Star
PSTR79,North Star
PSTR80,North Star
PSTR81,Deep end
PSTR82,Deep end
PSTR83,Deep end
PSTR84,Deep end
PSTR85,Deep end
PSTR86,Butler Bay
PSTR87,Butler Bay
PSTR88,Butler Bay
PSTR89,Butler Bay
PSTR90,Butler Bay
PSTR91,Butler Bay
PSTR92,Deep end
PSTR93,Cane Bay
PSTR94,Cane Bay
PSTR95,Cane Bay
PSTR96,Cane Bay
PSTR97,Joe's Reef
PSTR98,Joe's Reef
PSTR99,Joe's Reef
PSTR100,Joe's Reef
PSTR101,Joe's Reef
PSTR102,Joe's Reef
PSTR103,Joe's Reef
PSTR104,Joe's Reef
PSTR105,Joe's Reef
PSTR106,Joe's Reef
PSTR107,Joe's Reef
PSTR108,Joe's Reef
SSID1,Butler Bay
SSID2,Butler Bay
SSID3,Cane Bay
SSID4,Cane Bay
SSID5,Cane Bay
SSID6,Cane Bay
SSID7,Deep end
SSID8,Deep end
SSID9,Deep end
SSID10,Deep end
SSID11,Deep end
SSID12,Isaac Bay
SSID13,Isaac Bay
SSID14,Isaac Bay
SSID15,Isaac Bay
SSID16,Columbus landing
SSID17,Columbus landing
SSID18,Columbus landing
SSID19,Deep end
SSID20,Deep end
SSID21,Deep end
SSID22,Deep end
SSID23,Deep end
SSID24,Deep end
SSID25,Carambola deep
SSID26,Carambola deep
SSID27,Carambola deep
SSID28,Carambola deep
SSID29,Carambola deep
SSID30,Carambola deep
SSID31,The Palms
SSID32,The Palms
SSID33,The Palms
SSID34,The Palms
SSID35,The Palms
SSID36,The Palms
SSID37,Cane Bay
SSID38,Cane Bay
SSID39,Cane Bay
SSID40,Cane Bay
SSID41,Cane Bay
SSID42,Cane Bay
SSID43,Butler Bay
SSID44,Butler Bay
SSID45,Butler Bay
SSID46,Butler Bay
SSID47,Butler Bay
SSID48,Butler Bay
SSID49,Fredericksted Pier
SSID50,Fredericksted Pier
SSID51,Fredericksted Pier
SSID52,Fredericksted Pier
SSID53,Fredericksted Pier
MCAV1,Cane Bay
MCAV2,Cane Bay
MCAV3,Cane Bay
MCAV4,Cane Bay
MCAV5,Cane Bay
MCAV6,Cane Bay
MCAV7,Deep end
MCAV8,Deep end
MCAV9,Deep end
MCAV10,Deep end
MCAV11,Deep end
MCAV12,Deep end
MCAV13,Deep end
MCAV14,Deep end
MCAV15,Carambola shallow
MCAV16,Carambola shallow
MCAV17,Carambola shallow
MCAV18,Carambola shallow
MCAV19,Carambola deep
MCAV20,Carambola deep
MCAV21,Carambola deep
MCAV22,Carambola deep
MCAV23,The Palms
MCAV24,The Palms
MCAV25,The Palms
MCAV26,Cane Bay
MCAV27,Cane Bay
MCAV28,Cane Bay
MCAV29,Cane Bay
MCAV30,Cane Bay deep
MCAV31,Cane Bay deep
MCAV32,Cane Bay deep
MCAV33,Cane Bay
MCAV34,Cane Bay
MCAV35,Cane Bay
MCAV36,Cane Bay
MCAV37,Butler Bay
