"","Site","Latitude","Longitude","Temp_mean","Temp_max","Temp_min","Temp_mean_monthly_range","Temp_mean_yearly_range","DO_mean","DO_max","DO_min","DO_mean_monthly_range","DO_mean_yearly_range","Ecoli_mean","Ecoli_max","Ecoli_min","Ecoli_mean_monthly_range","Ecoli_mean_yearly_range","Entero_mean","Entero_max","Entero_min","Entero_mean_monthly_range","Entero_mean_yearly_range","Nitrogen_mean","Nitrogen_max","Nitrogen_min","Nitrogen_mean_monthly_range","Nitrogen_mean_yearly_range","pH_mean","pH_max","pH_min","pH_mean_monthly_range","pH_mean_yearly_range","Phosphorus_mean","Phosphorus_max","Phosphorus_min","Phosphorus_mean_monthly_range","Phosphorus_mean_yearly_range","Secchi_mean","Secchi_max","Secchi_min","Secchi_mean_monthly_range","Secchi_mean_yearly_range"
"shifted.coordinates","Deep end",17.76146752,-64.66971213,28.3371805023934,30.930550522541,25.3178067030477,1.67717577187105,2.64497637185425,6.73739419422354,33.9988320608885,2.84213042017668,4.18106741533625,3.59638559098978,56.5086649778268,438.832685282483,1.00194661313409,27.117024085972,42.9313250983718,62.4434022887217,1122.40373541681,1.25182580574201,278.371015522639,675.022063149334,0.24190932831578,0.500280454975863,0.242722857142857,0.0998753907389543,0.107810062846673,8.09541994062233,9.58221694237246,5.35340813630425,0.973120933470428,0.505144952058604,0.0169500152420632,0.197874640889467,0.00224119061950303,0.0352424562173512,0.0308203545386846,3.72657164118055,5.79434400837095,1.01295893822285,1.91832421931933,1.62506569782363
"shifted.coordinates.1","Isaac Bay",17.7498472,-64.5711886,28.1985197656779,30.5793107232476,25.6173241249947,1.36036526528237,2.27582771148766,6.99521449445713,22.0089873377426,4.31845215091995,3.02387708292519,2.87197870846291,53.8890885563471,349.624984020228,2.16039713026995,33.169112874172,37.0547536397616,54.7364874527432,1045.89640527298,0.898021632857725,264.464711604983,370.098003294591,0.396218251722315,0.562832109555141,0.242722857142857,0.0973180719205632,0.126215977842128,8.04908103847095,9.37045046074039,5.66416087773203,0.835709952834591,0.507532140283684,0.0142990552025596,0.0684111133169751,0.00189094126872767,0.0239333640507281,0.0116876167114233,4.28887599535662,11.3376586873188,1.52176248603631,3.10096909949886,2.53736959291678
"shifted.coordinates.2","Columbus landing",17.78008464,-64.7590193,28.3634619046109,31.1469354016528,25.6281051344521,1.26326273275455,2.44895052492532,6.6150246203529,16.114980597044,4.32750145403528,2.81652647585529,2.50112399516783,64.6439068147072,503.968638439759,1.00626354747773,58.7255020796056,37.2691927772726,60.8257926235356,3670.75213776043,0.63040919753035,470.978725316551,390.221855670988,0.332859863773629,0.546628798418392,0.242722857142857,0.0922230007658326,0.0910855785098953,8.11962205063995,9.94165444505434,4.48969611015046,1.11459000783942,0.58466811398991,0.0173132223673357,0.116158330689859,0.00167241232744827,0.0267938615527692,0.0123094905639582,2.53541681512785,5.06178458154009,1.15475497967967,2.00673731658053,1.47923776147976
"shifted.coordinates.3","The Palms",17.76609086,-64.72791607,28.1877058201865,32.749549610593,25.6447614881784,1.34662809473023,2.40376090323619,7.05590707124521,51.891020040213,4.31801257214887,5.89795948217552,3.55757602445608,48.4030978237383,330.023476958888,0.997839164183921,38.9813092500974,27.8269556172826,56.392772397898,2418.60523507794,1.04564039234742,368.609294498254,341.231267795633,0.376109615398694,0.529393444338817,0.242722857142857,0.0876825585439761,0.114934356098779,8.11273532439392,9.74125988486862,4.86988396863987,1.05772968811605,0.630038121199784,0.0161342895589507,0.0100464005881585,0.00159393202126074,0.0174488838200503,0.0108624570878796,5.66267833730521,12.7624002208091,1.5402730053265,3.68477186249507,2.70161561373502
"shifted.coordinates.4","Butler Bay",17.75036327,-64.89359563,28.2246741375312,30.761584027303,25.5822428529438,1.36036526528237,2.22704477772463,6.69340193762584,21.5483794270205,4.31845215091995,2.75125664918506,1.97076935962372,103.271841056745,666.934078998202,1.0206429282697,80.6244997467081,117.15599895778,70.6962673757525,4356.63429685557,-0.115752656167295,577.313971294179,377.401021164697,0.437564223867077,0.566903671924046,0.242722857142857,0.0924269167200815,0.122755544043218,8.10769690008966,9.90759304125527,3.31780319627599,1.18509074457667,0.532395479041353,0.0170612312848356,0.115156389227413,0.00182483045395973,0.0280461528654409,0.0118320455724833,4.09889645196388,11.3639084788277,1.56904447943306,3.10938964462174,2.41606297071664
"shifted.coordinates.5","WAPA",17.75815298,-64.71226393,28.1351844571434,30.6796708166772,25.6527668434126,1.29201779897458,2.33956599973547,7.10708771217487,59.5098994560601,4.36873012706284,6.49695083848745,3.94796549566196,46.5624818793434,288.13033580721,0.999460977681042,28.3817471798988,22.8078508993029,54.7456173457181,1850.60500159058,1.27701013774163,316.217332405911,260.293609406932,0.367336051442085,0.532030050088346,0.242722857142857,0.0867731491814915,0.0959391177974685,8.10615834090954,9.60308777832393,5.02851591651669,1.02574484476304,0.614420185944865,0.0167081475286855,0.0395189723409257,0.00166143441016297,0.0224550383872421,0.0109066168892369,6.7349424958797,17.5101078496438,1.42318786024928,5.50898629263344,4.68360013039026
"shifted.coordinates.6","Fredericksted Pier",17.71362935,-64.88500452,28.1344830812805,30.4664010698576,25.1338415784085,1.41301419363247,2.17958884893799,6.60348131570699,12.4661110460697,4.44928598062781,1.71771390044683,1.54330320149524,140.322363738727,904.013772333427,1.00051322594157,121.363798934334,175.057873937702,98.2385294158987,1846.61941608058,0.646540873556807,367.989357494215,325.712235863629,0.338189259167657,0.575849264567082,0.242722857142857,0.0918427789793563,0.10432509745463,8.12391651184044,9.95071549875331,4.06422658024985,1.09781961179991,0.488294274603695,0.0153022142501286,0.0549801246940949,0.00168269047250884,0.0226660968047201,0.00748772837702304,4.33352596236125,8.45957208899954,1.70624401387701,2.91545066131803,1.7409785744551
"shifted.coordinates.7","Joe's Reef",17.76649239,-64.6290718,28.2179570491014,31.0329755436831,25.3167792031855,1.36036526528237,2.38562859240227,6.96755072146704,55.7050675667342,4.31845215091995,5.44893817776629,3.23007201993388,50.2369639944183,326.648771059176,1.1535483326152,27.4253730687341,31.4153705867124,55.3458373866747,822.117437849478,0.863776797381398,290.892097783982,423.025521219083,0.339350148161891,0.522214269525393,0.242722857142857,0.0956350018970054,0.122779279310828,8.09009585859078,9.40314307950424,5.61783866981665,0.93511596383272,0.50705905289801,0.0153679265824141,0.100224606438236,0.00182512313799694,0.0266527068818045,0.0156420257754122,4.07090471461082,11.2817672930265,1.54226615708503,3.10937667890965,2.40767564524991
"shifted.coordinates.8","Channel Rock",17.77100832,-64.59435329,28.2102781021763,31.156655983106,25.3950811237057,1.36036526528237,2.33864286754373,7.0585884620061,51.4885214384708,4.31845215091995,5.14866052052855,3.34361181264956,51.2298356136045,331.043371735698,3.01148742873623,29.3365616324186,32.7781466713717,53.4823534025995,770.224599371859,0.480301934690387,306.98389195249,352.84642562993,0.420168863356735,0.544515974672817,0.242722857142857,0.0943254958582516,0.122605621600716,8.08247103175302,9.37925334777141,5.80646502369555,0.894144659868669,0.547133336655148,0.0144133509588967,0.0492832286116146,0.00182203225691707,0.0225430257661299,0.010431193912314,4.01829262147874,11.1025084808849,1.53761991832905,3.10930972156542,2.40474340436301
"shifted.coordinates.9","North Star",17.7687095,-64.82227668,28.1946047927273,30.4141112649354,25.6609985947349,1.36036526528237,2.29459626285211,6.83676742932575,55.1532828784119,4.31845215091995,5.62573427851926,2.62757873884283,79.8485671227014,538.279333363339,1.03701073260866,65.8192827989759,74.2831635352535,62.2297051074723,4567.92907961518,0.447382587379759,528.888900325243,510.74646731157,0.390792684648442,0.539548768362356,0.242722857142857,0.0917069463877818,0.123460515522428,8.11479736599054,9.95909608568546,3.8924010546182,1.15523329372633,0.635596142641973,0.0208163674312747,0.503463591940252,0.00183987778493682,0.0543750932817754,0.0573558651784622,4.56553032096684,12.6655811877487,1.8292612912781,3.11442377113679,2.54553418767568
