Site,Latitude,Longitude
Deep end,17.76146752,-64.66971213
Isaac Bay,17.7498472,-64.5711886
Columbus landing,17.78008464,-64.7590193
The Palms,17.76609086,-64.72791607
Butler Bay,17.75036327,-64.89359563
WAPA,17.75815298,-64.71226393
Fredericksted Pier,17.71362935,-64.88500452
Joe's Reef,17.76649239,-64.6290718
Channel Rock,17.77100832,-64.59435329
North Star,17.7687095,-64.82227668
Cane Bay,17.774005,-64.811834
Carambola shallow,17.76336524,-64.83319751
Carambola deep,17.7672959,-64.83640695
Cane Bay deep,17.77963109,-64.818468
