Sample,Site,Depth
PAST1,Butler Bay,2
PAST2,Butler Bay,2
PAST3,Butler Bay,2
PAST4,Butler Bay,2
PAST5,Butler Bay,2
PAST6,Deep end,2
PAST7,Deep end,2
PAST8,Deep end,2
PAST9,Deep end,2
PAST10,Deep end,2
PAST11,Deep end,2
PAST12,Isaac Bay,2
PAST13,Isaac Bay,2
PAST14,Isaac Bay,2
PAST15,Isaac Bay,2
PAST16,Isaac Bay,2
PAST17,Isaac Bay,2
PAST18,Isaac Bay,2
PAST19,Isaac Bay,2
PAST20,Isaac Bay,2
PAST21,Isaac Bay,2
PAST22,Isaac Bay,2
PAST23,Isaac Bay,2
PAST24,Deep end,2
PAST25,Deep end,2
PAST26,Deep end,2
PAST27,Deep end,2
PAST28,The Palms,5
PAST29,The Palms,5
PAST30,The Palms,5
PAST31,The Palms,5
PAST32,The Palms,6
PAST33,The Palms,8
PAST34,Cane Bay,23
PAST35,Cane Bay,14
PAST36,Cane Bay,14
PAST37,Cane Bay,12
PAST38,Cane Bay,12
PAST39,Cane Bay,12
PAST40,Cane Bay,12
PAST41,Cane Bay,9
PAST42,Cane Bay,9
PAST43,Cane Bay,8
PAST44,Butler Bay,7
PAST45,Butler Bay,7
PAST46,Butler Bay,7
PAST47,Butler Bay,7
PAST48,Fredericksted Pier,3
PAST49,Fredericksted Pier,3
PAST50,Fredericksted Pier,3
PAST51,Fredericksted Pier,3
PAST52,Fredericksted Pier,3
PAST53,Fredericksted Pier,3
PAST54,Fredericksted Pier,3
PAST55,Fredericksted Pier,3
PAST56,Cane Bay,3
PAST57,Cane Bay,3
PAST58,Cane Bay,3
PAST59,Cane Bay,3
PAST60,Cane Bay,3
PAST61,Cane Bay,3
AAGA1,Butler Bay,2
AAGA2,Butler Bay,2
AAGA3,Butler Bay,2
AAGA4,Butler Bay,2
AAGA5,Butler Bay,2
AAGA6,Butler Bay,2
AAGA7,Deep end,2
AAGA8,Deep end,2
AAGA9,Deep end,2
AAGA10,Isaac Bay,2
AAGA11,Isaac Bay,2
AAGA12,Isaac Bay,2
AAGA13,Isaac Bay,2
AAGA14,Isaac Bay,2
AAGA15,Columbus landing,2
AAGA16,Columbus landing,2
AAGA17,Columbus landing,2
AAGA18,Columbus landing,2
AAGA19,Deep end,2
AAGA20,Deep end,2
AAGA21,Deep end,2
AAGA22,Deep end,2
AAGA23,Deep end,2
AAGA24,Deep end,2
AAGA25,Carambola shallow,10
AAGA26,The Palms,4
AAGA27,The Palms,5
AAGA28,The Palms,5
AAGA29,The Palms,5
AAGA30,Butler Bay,7
AAGA31,Butler Bay,7
AAGA32,Butler Bay,7
AAGA33,Butler Bay,7
AAGA34,Butler Bay,7
AAGA35,Butler Bay,7
AAGA36,Butler Bay,7
AAGA37,Fredericksted Pier,3
AAGA38,Fredericksted Pier,3
AAGA39,Fredericksted Pier,3
AAGA40,Fredericksted Pier,3
AAGA41,Fredericksted Pier,3
AAGA42,Cane Bay,3
PSTR1,Deep end,2
PSTR2,Isaac Bay,2
PSTR3,Isaac Bay,2
PSTR4,Isaac Bay,2
PSTR5,Isaac Bay,2
PSTR6,Isaac Bay,2
PSTR7,Isaac Bay,2
PSTR8,Isaac Bay,2
PSTR9,Isaac Bay,2
PSTR10,Isaac Bay,2
PSTR11,Columbus landing,2
PSTR12,Deep end,2
PSTR13,Deep end,2
PSTR14,Deep end,2
PSTR15,Deep end,2
PSTR16,Deep end,2
PSTR17,Deep end,2
PSTR18,The Palms,2
PSTR19,The Palms,2.5
PSTR20,The Palms,3
PSTR21,The Palms,2.5
PSTR22,The Palms,3
PSTR23,The Palms,3
PSTR24,The Palms,3
PSTR25,The Palms,2.5
PSTR26,The Palms,3.5
PSTR27,The Palms,4
PSTR28,Butler Bay,7
PSTR29,Butler Bay,7
PSTR30,Butler Bay,7
PSTR31,Butler Bay,7
PSTR32,Butler Bay,7
PSTR33,WAPA,10
PSTR34,WAPA,10
PSTR35,WAPA,10
PSTR36,WAPA,10
PSTR37,Butler Bay,7
PSTR38,Butler Bay,7
PSTR39,Butler Bay,7
PSTR40,Butler Bay,7
PSTR41,Butler Bay,7
PSTR42,Butler Bay,7
PSTR43,Butler Bay,7
PSTR44,Butler Bay,7
PSTR45,Butler Bay,7
PSTR46,Fredericksted Pier,3
PSTR47,Fredericksted Pier,3
PSTR48,Fredericksted Pier,3
PSTR49,Fredericksted Pier,3
PSTR50,Fredericksted Pier,3
PSTR51,Fredericksted Pier,3
PSTR52,Deep end,3
PSTR53,Deep end,3
PSTR54,Deep end,3
PSTR55,Deep end,3
PSTR56,Deep end,3
PSTR57,Deep end,3
PSTR58,Deep end,3
PSTR59,Deep end,3
PSTR60,Deep end,3
PSTR61,Joe's Reef,2
PSTR62,Joe's Reef,2
PSTR63,Joe's Reef,2
PSTR64,Joe's Reef,2
PSTR65,Joe's Reef,2
PSTR66,Joe's Reef,2
PSTR67,Joe's Reef,2
PSTR68,Joe's Reef,2
PSTR69,Joe's Reef,2
PSTR70,Channel Rock,7
PSTR71,Channel Rock,7
PSTR72,Channel Rock,7
PSTR73,Channel Rock,7
PSTR74,Channel Rock,7
PSTR75,North Star,9
PSTR76,North Star,9
PSTR77,North Star,9
PSTR78,North Star,9
PSTR79,North Star,9
PSTR80,North Star,9
PSTR81,Deep end,3
PSTR82,Deep end,3
PSTR83,Deep end,3
PSTR84,Deep end,3
PSTR85,Deep end,3
PSTR86,Butler Bay,7
PSTR87,Butler Bay,7
PSTR88,Butler Bay,7
PSTR89,Butler Bay,7
PSTR90,Butler Bay,7
PSTR91,Butler Bay,7
PSTR92,Deep end,3
PSTR93,Cane Bay,3
PSTR94,Cane Bay,3
PSTR95,Cane Bay,3
