"","Site","Lat","Lon","Nitrogen_mean","Nitrogen_max","Nitrogen_min","Nitrogen_mean_monthly_range","Nitrogen_mean_yearly_range"
"1","Altona Lagoon Inlet",17.75008,-64.69648,0.444705882352941,0.6,0.37,0.08,0.098
"2","Alumina Plant Dock",17.70788,-64.7712,0.3325,0.56,0.24,0.0966666666666667,0.114
"3","Buccaneer Hotel",17.75733,-64.68282,0.3625,0.5,0.2,0.085,0.104
"4","Buck Island Anchorage",17.78898,-64.61185,0.395333333333333,0.49,0.27,0.045,0.086
"5","Buck Island Beach",17.78661,-64.62809,0.292352941176471,0.42,0.16,0.0866666666666667,0.038
"6","Cane Bay",17.77334,-64.81166,0.406875,0.57,0.18,0.0866666666666667,0.158
"7","Canegarden Bay",17.6927,-64.73153,0.494375,0.68,0.28,0.095,0.13
"8","Canegarden Bay (gut)",17.69993,-64.73813,0.39375,0.68,0.26,0.0983333333333333,0.152
"9","Christiansted Harbor",17.75379,-64.69835,0.353291304347826,0.6,0.0266,0.2305375,0.107233333333333
"10","Christiansted Harbor Entrance East",17.75737,-64.69515,0.405263157894737,0.53,0.29,0.0683333333333333,0.092
"11","Christiansted Harbor Entrance West",17.75532,-64.70028,0.322,0.54,0.23,0.0766666666666667,0.112
"12","Cramer Park",17.75935,-64.58558,0.381333333333333,0.44,0.26,0.065,0.074
"13","Davis Bay",17.76322,-64.83249,0.373333333333333,0.48,0.28,0.08,0.078
"14","Divi (Turner Hole Beach)",17.74255,-64.60364,0.463125,0.68,0.28,0.131666666666667,0.16
"15","Frederiksted Pier",17.71382,-64.88415,0.277857142857143,0.51,0.19,0.0716666666666667,0.098
"16","Frederiksted Public Beach",17.7162,-64.88443,0.405555555555556,0.57,0.2,0.0933333333333333,0.11
"17","Frederiksted Public Pool",17.69158,-64.89368,0.297333333333333,0.76,0.12,0.136666666666667,0.16
"18","Ft. Louise Augusta Beach",17.75537,-64.69245,0.33,0.45,0.19,0.0566666666666667,0.152
"19","Gallows Bay",17.74638,-64.6985,0.407333333333333,0.48,0.38,0.0216666666666667,0.044
"20","Good Hope Beach",17.68375,-64.86057,0.312666666666667,0.46,0.24,0.0716666666666667,0.066
"21","Great Pond",17.7209,-64.65193,0.467333333333333,0.66,0.3,0.0966666666666667,0.214
"22","Green Cay Marina",17.75997,-64.6683,0.253636363636364,0.69,0.13,0.16,0.1225
"23","Halfpenny  Backreef",17.70323,-64.69811,0.584666666666667,0.76,0.33,0.141666666666667,0.154
