"","Site","Lat","Lon","Phosphorus_mean","Phosphorus_max","Phosphorus_min","Phosphorus_mean_monthly_range","Phosphorus_mean_yearly_range"
"1","Altona Lagoon Inlet",17.75008,-64.69648,0.0148823529411765,0.06,0.0017,0.02503,0.01086
"2","Alumina Plant Dock",17.70788,-64.7712,0.0140179487179487,0.043,0.0025,0.02315,0.01021
"3","Buccaneer Hotel",17.75733,-64.68282,0.0146131578947368,0.039,0.0017,0.02018,0.00908
"4","Buck Island Anchorage",17.78898,-64.61185,0.0150628571428571,0.06,0.0016,0.02291,0.01107
"5","Buck Island Beach",17.78661,-64.62809,0.0130432432432432,0.048,0.0013,0.02218,0.00941
"6","Cane Bay",17.77334,-64.81166,0.0437764705882353,1,0.0022,0.11717,0.10958
"7","Canegarden Bay",17.6927,-64.73153,0.0188970588235294,0.2,0.0024,0.0321272727272727,0.02448
"8","Canegarden Bay (gut)",17.69993,-64.73813,0.01594,0.062,0.0023,0.0187636363636364,0.01025
"9","Christiansted Harbor",17.75003,-64.70547,0.0150545454545455,0.047,0.0021,0.02183,0.00964
"10","Christiansted Harbor Entrance East",17.75737,-64.69515,0.0216783783783784,0.32,0.0015,0.05239,0.04041
"11","Christiansted Harbor Entrance West",17.75532,-64.70028,0.0128,0.041,0.0019,0.02168,0.0099
"12","Cramer Park",17.75935,-64.58558,0.0124567567567568,0.043,0.0011,0.02039,0.00896
"13","Davis Bay",17.76322,-64.83249,0.0127885714285714,0.044,0.0019,0.02029,0.00793
"14","Divi (Turner Hole Beach)",17.74255,-64.60364,0.0130171428571429,0.042,0.0014,0.0183,0.00759
"15","Frederiksted Pier",17.71382,-64.88415,0.0135885714285714,0.042,0.0016,0.02003,0.00838
"16","Frederiksted Public Beach",17.7162,-64.88443,0.0123108108108108,0.041,0.0015,0.01852,0.00791
"17","Frederiksted Public Pool",17.69158,-64.89368,0.0129969696969697,0.041,0.0021,0.02148,0.00858
"18","Ft. Louise Augusta Beach",17.75537,-64.69245,0.0127894736842105,0.052,0.0011,0.02185,0.0106
"19","Gallows Bay",17.74638,-64.6985,0.0147970588235294,0.066,0.0023,0.02352,0.0122
"20","Good Hope Beach",17.68375,-64.86057,0.0136542857142857,0.041,0.0021,0.02104,0.00915
"21","Great Pond",17.7209,-64.65193,0.0131424242424242,0.042,0.0019,0.01865,0.00934
"22","Green Cay Marina",17.75997,-64.6683,0.0295555555555556,0.58,0.0029,0.07602,0.06272
"23","HOVENSA East Turning Basin, NW Corner",17.7001,-64.74868,0.0141428571428571,0.043,0.0019,0.01985,0.00982
"24","HOVENSA West Turning Basin, NE Corner",17.7,-64.75098,0.0129027027027027,0.042,0.002,0.02153,0.00867
"25","Halfpenny  Backreef",17.70323,-64.69811,0.0558885714285714,1.5,0.0026,0.16564,0.15442
"26","Jack Bay, Forereef",17.74613,-64.5799,0.0132714285714286,0.042,0.0023,0.02098,0.0085
"27","Krause Lagoon Channel",17.69368,-64.76279,0.0120628571428571,0.044,0.0021,0.0213,0.00778
"28","LBJ (Pump Station) Outfall",17.75938,-64.71495,0.0143135135135135,0.041,0.0015,0.01703,0.00844
"29","Lagoon Recreation Beach",17.75348,-64.69495,0.0132717948717949,0.042,0.0018,0.02055,0.00629
"30","Limetree Bay Container Port",17.69658,-64.75582,0.011946511627907,0.048,7e-04,0.02167,0.01075
"31","Long Point Bay",17.6809,-64.84381,0.0130666666666667,0.041,0.0015,0.01901,0.00974
"32","Long Reef Back Reef East",17.75378,-64.70412,0.0138,0.04,0.0022,0.0202,0.00832
"33","Long Reef Back Reef West",17.75947,-64.72392,0.0151612903225806,0.0426,0.0029,0.01946,0.01703
"34","Long Reef Forereef East",17.76028,-64.70103,0.0134861111111111,0.045,8e-04,0.02255,0.00904
"35","Long Reef Forereef West",17.76478,-64.7296,0.013075,0.044,0.0015,0.01945,0.00903
"36","Manchenil  Bay",17.70361,-64.70581,0.0163621621621622,0.051,9e-04,0.0172272727272727,0.00882
"37","Mill Harbor Condominium Beach",17.75565,-64.72023,0.0153378378378378,0.04,0.0022,0.0201,0.00855
"38","Protestant Cay Beach",17.74927,-64.70378,0.015021875,0.042,0.0014,0.02043,0.01062
"39","Public Dump",17.69459,-64.78365,0.0187212121212121,0.1662,0.0012,0.03349,0.00884
"40","Public Wharf",17.74752,-64.70342,0.0140794117647059,0.04,0.0018,0.02092,0.01271
"41","Reef Club Beach",17.75715,-64.60885,0.0145527777777778,0.044,0.0022,0.02193,0.00814
"42","Robin Bay",17.72259,-64.63396,0.012790625,0.043,0.0022,0.01767,0.00825
"43","Rum Plant (VI Rum) Outfall",17.67998,-64.82256,0.0144888888888889,0.048,0.0021,0.02376,0.00915
"44","Salt River (Columbus  Landing  Beach)",17.77992,-64.7586,0.0143382352941176,0.043,0.001,0.02001,0.01003
"45","Salt River Bay",17.77513,-64.758,0.01376,0.044,0.002,0.02,0.00878
"46","Salt River Marina",17.77517,-64.76183,0.0163138888888889,0.045,0.003,0.02182,0.0122
"47","Spoils Island (Ruth Island)",17.68545,-64.76471,0.0160028571428571,0.044,0.0016,0.02378,0.00996
"48","Sprat Hall Beach",17.7356,-64.89095,0.0141138888888889,0.042,0.0015,0.01975,0.00792
"49","St. Croix Marine",17.74822,-64.69848,0.0134484848484848,0.04,0.0016,0.01924,0.00829
"50","St. Croix Yacht Club Beach",17.75565,-64.60233,0.0138060606060606,0.039,0.0023,0.01951,0.00836
"51","St. Croix by the Sea",17.76739,-64.73452,0.0134,0.043,0.0011,0.0197,0.0102
"52","Tamarind Reef Lagoon",17.76152,-64.66929,0.0153810810810811,0.038,0.0018,0.02305,0.00962
"53","Treatment Plant (POTW) Outfall",17.67218,-64.77294,0.0140258064516129,0.044,0.0022,0.02198,0.0099
"54","WAPA Intake",17.75073,-64.71278,0.0154225,0.04,0.0021,0.02132,0.00955
"55","Water Gut Storm Drain",17.74746,-64.7073,0.0167121212121212,0.059,8e-04,0.0284666666666667,0.01343
