OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityStartDate,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ProjectName,MonitoringLocationIdentifier,MonitoringLocationName,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19750801_45636,Sample-Routine,8/1/75,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19750501_45630,Sample-Routine,5/1/75,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19750601_45632,Sample-Routine,6/1/75,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19750801_45648,Sample-Routine,8/1/75,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19750601_45644,Sample-Routine,6/1/75,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19750301_45629,Sample-Routine,3/1/75,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19750701_45646,Sample-Routine,7/1/75,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19750901_45638,Sample-Routine,9/1/75,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,100,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19750901_45650,Sample-Routine,9/1/75,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19750701_45634,Sample-Routine,7/1/75,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19761001_39262,Sample-Routine,10/1/76,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19761101_39286,Sample-Routine,11/1/76,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19761001_39284,Sample-Routine,10/1/76,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760301_39272,Sample-Routine,3/1/76,Surface,0,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,Fecal Coliform,0,cfu/100ml
