OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityStartDate,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ProjectIdentifier,ProjectName,MonitoringLocationIdentifier,MonitoringLocationName,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,AnalysisStartDate,LastUpdated,ProviderName
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19841005_92841,Sample-Routine,Water,10/5/84,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537696,Not Detected,as NO2,Nitrite,,mg/l,10/5/84,21:38.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19850916_92665,Sample-Routine,Water,9/16/85,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536991,Not Detected,as NO2,Nitrite,,mg/l,9/16/85,21:31.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19850530_92663,Sample-Routine,Water,5/30/85,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536981,Not Detected,as NO2,Nitrite,,mg/l,5/30/85,21:31.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19850530_92845,Sample-Routine,Water,5/30/85,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537712,Not Detected,as NO2,Nitrite,,mg/l,5/30/85,21:38.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19860804_121445,Sample-Routine,Water,8/4/86,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740537005,Not Detected,as NO2,Nitrite,,mg/l,8/4/86,21:31.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0002Sur_SW_2009921_13:33,Sample-Routine,Water,9/21/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0002,Inshore at Southgate,17.7647,-64.6726,STORET-61664186,,as N,Nitrite,0.0013,mg/l,,05:30.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0054Sur_QW_20091019_11:32,Quality Control Sample-Field Replicate,Water,10/19/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STC-0054,North of Beauregard Bay (EPA ORD Station),17.7697833,-64.68708333,STORET-61664443,,as N,Nitrite,0.0003,mg/l,,05:35.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0001Sur_SW_2009921_12:59,Sample-Routine,Water,9/21/09,,0.5,EPABEACH;USVI_Cadmus,Project EPABEACH (system generated);USVI TMDL Monitoring,CADMUS-STCR-0001,Inshore off Green Cay Beach,17.763,-64.6628,STORET-61664173,,as N,Nitrite,0.0013,mg/l,,05:30.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0009Sur_SW_2009921_14:20,Sample-Routine,Water,9/21/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0009,North of Christiansted Harbor,17.76917,-64.70104,STORET-61664264,,as N,Nitrite,0.001,mg/l,,05:31.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0026Sur_SW_20091230_10:05,Sample-Routine,Water,12/30/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STC-0026,North of Green Cay (EPA ORD Station),17.7750833,-64.66308333,STORET-61663669,,as N,Nitrite,0.0009,mg/l,,05:24.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0003Sur_SW_20091230_9:42,Sample-Routine,Water,12/30/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0003,Inshore off Beauregard Bay,17.7574,-64.6864,STORET-61663759,,as N,Nitrite,0.0009,mg/l,,05:25.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0042Sur_SW_20091230_10:00,Sample-Routine,Water,12/30/09,,0.5,EPABEACH;USVI_Cadmus,Project EPABEACH (system generated);USVI TMDL Monitoring,CADMUS-STC-0042,North of Shoys Beach (EPA ORD Station),17.7744333,-64.67326667,STORET-61663687,,as N,Nitrite,0.0006,mg/l,,05:24.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0005Sur_SW_20091110_8:42,Sample-Routine,Water,11/10/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0005,South side of Buck Island Channel,17.7648,-64.6244,STORET-61663347,,as N,Nitrite,0.001,mg/l,,05:21.0,STORET
