OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityStartDate,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ProjectIdentifier,ProjectName,MonitoringLocationIdentifier,MonitoringLocationName,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,AnalysisStartDate,LastUpdated,ProviderName
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0008Sur_SW_2009921_14:08,Sample-Routine,Water,9/21/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0008,Christiansted Harbor,17.75379,-64.69835,STORET-61664256,,as N,Nitrogen,0.21,mg/l,,05:31.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0001Sur_SW_20091110_9:29,Sample-Routine,Water,11/10/09,,0.5,EPABEACH;USVI_Cadmus,Project EPABEACH (system generated);USVI TMDL Monitoring,CADMUS-STCR-0001,Inshore off Green Cay Beach,17.763,-64.6628,STORET-61663280,,as N,Nitrogen,0.2,mg/l,,05:20.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0005Sur_SW_20091110_8:42,Sample-Routine,Water,11/10/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0005,South side of Buck Island Channel,17.7648,-64.6244,STORET-61663352,,as N,Nitrogen,0.13,mg/l,,05:21.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0009Sur_SW_20091230_9:18,Sample-Routine,Water,12/30/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0009,North of Christiansted Harbor,17.76917,-64.70104,STORET-61663872,,as N,Nitrogen,0.14,mg/l,,05:26.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STC-0042Sur_SW_20091019_11:45,Sample-Routine,Water,10/19/09,,0.5,EPABEACH;USVI_Cadmus,Project EPABEACH (system generated);USVI TMDL Monitoring,CADMUS-STC-0042,North of Shoys Beach (EPA ORD Station),17.7744333,-64.67326667,STORET-61664320,,as N,Nitrogen,0.0292,mg/l,,05:32.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0001Sur_QW_20091110_9:26,Quality Control Field Replicate Msr/Obs,Water,11/10/09,,0.5,EPABEACH;USVI_Cadmus,Project EPABEACH (system generated);USVI TMDL Monitoring,CADMUS-STCR-0001,Inshore off Green Cay Beach,17.763,-64.6628,STORET-61662129,,as N,Nitrogen,0.03288,mg/l,,05:05.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0009Sur_SW_2009921_14:20,Sample-Routine,Water,9/21/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0009,North of Christiansted Harbor,17.76917,-64.70104,STORET-61664270,,as N,Nitrogen,0.0245,mg/l,,05:31.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0002Sur_SW_2009921_13:33,Sample-Routine,Water,9/21/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0002,Inshore at Southgate,17.7647,-64.6726,STORET-61664192,,as N,Nitrogen,0.0264,mg/l,,05:30.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0007Sur_SW_2009921_14:43,Sample-Routine,Water,9/21/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0007,"Offshore, North of Green Cay",17.7896,-64.66428,STORET-61664244,,as N,Nitrogen,0.0455,mg/l,,05:31.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0001Sur_SW_2009921_12:59,Sample-Routine,Water,9/21/09,,0.5,EPABEACH;USVI_Cadmus,Project EPABEACH (system generated);USVI TMDL Monitoring,CADMUS-STCR-0001,Inshore off Green Cay Beach,17.763,-64.6628,STORET-61664179,,as N,Nitrogen,0.0447,mg/l,,05:30.0,STORET
The Cadmus Group (Massachusetts) (Volunteer),CADMUS-STCR-0007Sur_SW_20091110_8:59,Sample-Routine,Water,11/10/09,,0.5,USVI_Cadmus,USVI TMDL Monitoring,CADMUS-STCR-0007,"Offshore, North of Green Cay",17.7896,-64.66428,STORET-61663389,,as N,Nitrogen,0.023,mg/l,,05:21.0,STORET
