OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityStartDate,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ProjectIdentifier,ProjectName,MonitoringLocationIdentifier,MonitoringLocationName,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,AnalysisStartDate,LastUpdated,ProviderName
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19841005_92841,Sample-Routine,Water,10/5/84,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537697,Not Detected,as PO4,Phosphate-phosphorus,,mg/l,10/5/84,21:38.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19850530_92663,Sample-Routine,Water,5/30/85,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536982,Not Detected,as PO4,Phosphate-phosphorus,,mg/l,5/30/85,21:31.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19850916_92665,Sample-Routine,Water,9/16/85,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536992,Not Detected,as PO4,Phosphate-phosphorus,,mg/l,9/16/85,21:31.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19850530_92845,Sample-Routine,Water,5/30/85,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537713,Not Detected,as PO4,Phosphate-phosphorus,,mg/l,5/30/85,21:38.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19860804_121445,Sample-Routine,Water,8/4/86,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740537006,Not Detected,as PO4,Phosphate-phosphorus,,mg/l,8/4/86,21:31.0,STORET
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-36_20030325_03Q2STC36-33182,Sample-Routine,Water,3/25/03,Surface,7.5,AMBSTC;EPABEACH,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-36,Long Reef Fore reef East,17.760283,-64.701033,STORET-277841098,,,Phosphorus,0.05,mg/l,,20:09.0,STORET
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-13A_20030730_03Q4STC13A-33407,Sample-Routine,Water,7/30/03,Surface,0.97,AMBSTC;EPABEACH,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-13A,Great Pond Bay,17.721633,-64.651467,STORET-277841767,,,Phosphorus,0.28,mg/l,,20:46.0,STORET
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-33_20030328_03Q2STC33-33170,Sample-Routine,Water,3/28/03,Surface,1.8,AMBSTC;EPABEACH,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-33,Salt River Marina,17.775167,-64.761833,STORET-277841055,,,Phosphorus,0.02,mg/l,,20:07.0,STORET
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-14A_20030730_03Q4STC14A-3,Sample-Routine,Water,7/30/03,Surface,1.9,AMBSTC;EPABEACH,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-14A,Halfpenny Bay u Manchenil,17.703133,-64.70725,STORET-277808776,,,Phosphorus,0.02,mg/l,,13:09.0,STORET
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-17_20031219_04Q1STC17-3,Sample-Routine,Water,12/19/03,Surface,10.6,AMBSTC;EPABEACH,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-17,"HOVENSA West Turning Basin, NW Corner",17.69895,-64.754017,STORET-277784525,,,Phosphorus,0.08,mg/l,,19:10.0,STORET
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-24B_20030730_03Q4STC24B-33449,Sample-Routine,Water,7/30/03,Surface,5.5,AMBSTC;EPABEACH,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-24B,Rum Plant Outfall,17.682233,-64.818783,STORET-277841917,,,Phosphorus,0.02,mg/l,,20:55.0,STORET
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-22A_20031219_04Q1STC22A-4_5898,Sample-Routine,Water,12/19/03,Surface,8.8,AMBSTC;EPABEACH,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-22A,Treatment Plant (POTW) Outfall,17.67865,-64.7728,STORET-278567169,,,Phosphorus,0.08,mg/l,,18:37.0,STORET
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-16_20030730_03Q4STC16-33422,Sample-Routine,Water,7/30/03,Surface,11.39,AMBSTC;EPABEACH,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-16,"HOVENSA East Turning Basin, NW Corner",17.7001,-64.748683,STORET-277841820,,,Phosphorus,0.02,mg/l,,20:49.0,STORET
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-19_20030730_03Q4STC19-3,Sample-Routine,Water,7/30/03,Surface,10.4,AMBSTC;EPABEACH,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-19,Krause Lagoon Channel,17.694382,-64.763883,STORET-277808842,,,Phosphorus,0.02,mg/l,,13:14.0,STORET
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-14A_20030730_03Q4STC14A-33413,Sample-Routine,Water,7/30/03,Surface,1.9,AMBSTC;EPABEACH,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-14A,Halfpenny Bay u Manchenil,17.703133,-64.70725,STORET-277841787,,,Phosphorus,0.02,mg/l,,20:47.0,STORET
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-13B_20030730_03Q4STC13B-3,Sample-Routine,Water,7/30/03,Surface,2.1,AMBSTC;EPABEACH,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-13B,Robin Bay,17.720983,-64.63515,STORET-277808765,,,Phosphorus,0.02,mg/l,,13:09.0,STORET
Government Of Us Virgin Islands (BEACH),USVIST_WQX-STC-16_20030730_03Q4STC16-3,Sample-Routine,Water,7/30/03,Surface,11.39,AMBSTC;EPABEACH,Ambient Monitoring Program - St. Croix;EPA Beach,USVIST_WQX-STC-16,"HOVENSA East Turning Basin, NW Corner",17.7001,-64.748683,STORET-277808809,,,Phosphorus,0.02,mg/l,,13:12.0,STORET
