OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityStartDate,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ProjectIdentifier,ProjectName,MonitoringLocationIdentifier,MonitoringLocationName,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,AnalysisStartDate,LastUpdated,ProviderName
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19750701_45633,Field Msr/Obs,Water,7/1/75,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536528,,,"Depth, Secchi disk depth",6,m,7/1/75,21:26.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19750101_45627,Field Msr/Obs,Water,1/1/75,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536519,,,"Depth, Secchi disk depth",6,m,1/1/75,21:26.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19750101_45639,Field Msr/Obs,Water,1/1/75,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537211,,,"Depth, Secchi disk depth",4.5,m,1/1/75,21:33.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19750901_45637,Field Msr/Obs,Water,9/1/75,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536542,,,"Depth, Secchi disk depth",6,m,9/1/75,21:26.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19750601_45631,Field Msr/Obs,Water,6/1/75,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536524,,,"Depth, Secchi disk depth",6,m,6/1/75,21:26.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19750701_45645,Field Msr/Obs,Water,7/1/75,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537221,,,"Depth, Secchi disk depth",4.5,m,7/1/75,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19750601_45643,Field Msr/Obs,Water,6/1/75,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537217,,,"Depth, Secchi disk depth",4.5,m,6/1/75,21:33.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19750301_45641,Field Msr/Obs,Water,3/1/75,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537214,,,"Depth, Secchi disk depth",4.5,m,3/1/75,21:33.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19750901_45649,Field Msr/Obs,Water,9/1/75,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537235,,,"Depth, Secchi disk depth",4.5,m,9/1/75,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19750801_45635,Field Msr/Obs,Water,8/1/75,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536535,,,"Depth, Secchi disk depth",6,m,8/1/75,21:26.0,STORET
