OrganizationFormalName,ActivityIdentifier,ActivityTypeCode,ActivityMediaName,ActivityStartDate,ActivityRelativeDepthName,ActivityDepthHeightMeasure/MeasureValue,ProjectIdentifier,ProjectName,MonitoringLocationIdentifier,MonitoringLocationName,ActivityLocation/LatitudeMeasure,ActivityLocation/LongitudeMeasure,ResultIdentifier,ResultDetectionConditionText,MethodSpeciationName,CharacteristicName,ResultMeasureValue,ResultMeasure/MeasureUnitCode,AnalysisStartDate,LastUpdated,ProviderName
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19750801_45648,Sample-Routine,Water,8/1/75,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537231,,,pH,8.3,None,8/1/75,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19750901_45638,Sample-Routine,Water,9/1/75,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536545,,,pH,8.2,None,9/1/75,21:26.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19750801_45636,Sample-Routine,Water,8/1/75,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536538,,,pH,8.2,None,8/1/75,21:26.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19750701_45634,Sample-Routine,Water,7/1/75,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536531,,,pH,8.1,None,7/1/75,21:26.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19750901_45650,Sample-Routine,Water,9/1/75,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537238,,,pH,8.1,None,9/1/75,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19750701_45646,Sample-Routine,Water,7/1/75,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537224,,,pH,8.1,None,7/1/75,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760501_39254,Sample-Routine,Water,5/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536571,,,pH,8.2,None,5/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760401_39274,Sample-Routine,Water,4/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537259,,,pH,8.3,None,4/1/76,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19761201_39266,Sample-Routine,Water,12/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536613,,,pH,8.5,None,12/1/76,21:28.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19761201_39288,Sample-Routine,Water,12/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537308,,,pH,8.4,None,12/1/76,21:35.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760401_39252,Sample-Routine,Water,4/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536564,,,pH,8.3,None,4/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19761101_39286,Sample-Routine,Water,11/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537301,,,pH,8.5,None,11/1/76,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760301_39250,Sample-Routine,Water,3/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536557,,,pH,8.5,None,3/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_7_19760901_39282,Sample-Routine,Water,9/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_7,BUCK ISLAND REEF EAST OF BUCK ISLAND,17.7891944,-64.6104722,STORET-740537287,,,pH,8.6,None,9/1/76,21:34.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760901_39260,Sample-Routine,Water,9/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536592,,,pH,8.4,None,9/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19760701_39258,Sample-Routine,Water,7/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536585,,,pH,8.3,None,7/1/76,21:27.0,STORET
National Park Service Water Resources Division,11NPSWRD_WQX-BUIS_NPS_6_19761101_39264,Sample-Routine,Water,11/1/76,Surface,0,BUIS0001,Ambient WQ Monitoring Program at Buck Island Reef NM,11NPSWRD_WQX-BUIS_NPS_6,BUCK ISLAND REEF NORTHWEST OF BUCK ISLAND,17.7944444,-64.6366667,STORET-740536606,,,pH,8.5,None,11/1/76,21:27.0,STORET
