"","Site","Lat","Lon","pH_mean","pH_max","pH_min","pH_mean_monthly_range","pH_mean_yearly_range"
"1","Altona Lagoon Inlet",17.75016,-64.69648,8.2790243902439,9.8,7.3,0.648181818181818,0.561818181818182
"2","Altona Lagoon Recreation Beach",17.75348,-64.69495,8.089,8.14,8,0.0125000000000002,0.0700000000000003
"3","Alumina Plant Dock",17.70788,-64.7712,8.27363636363636,10.18,7.46,0.658333333333333,0.431818181818181
"4","Buccaneer Hotel",17.75733,-64.68282,8.35395348837209,10.27,7.27,0.647272727272728,0.480909090909091
"5","Buck Island Anchorage",17.78982,-64.61367,8.257125,9.52,7.28,0.5325,0.438181818181818
"6","Buck Island Beach",17.78665,-64.62793,8.27,9.48,7.26,0.525,0.409090909090909
"7","Cane Bay",17.77334,-64.81166,8.27119047619048,10.45,7.31,0.761818181818182,0.445454545454546
"8","Cane Garden Bay",17.7,-64.73853,8.106,8.17,8.03,0.00399999999999992,0.0499999999999998
"9","Canegarden Bay",17.6927,-64.73153,8.292625,10.1,7.32,0.583333333333333,0.498181818181818
"10","Canegarden Bay (gut)",17.69993,-64.73813,8.27716216216216,10.13,7.3,0.617272727272728,0.536000000000001
"11","Christiansted Harbor",17.75003,-64.70547,8.22730769230769,9.39,7.29,0.541666666666667,0.563636363636364
"12","Christiansted Harbor Entrance East",17.75737,-64.69515,8.27837209302326,9.73,7.29,0.597272727272727,0.448181818181818
"13","Christiansted Harbor Entrance West",17.75532,-64.70028,8.28,9.86,7.29,0.575,0.530909090909091
"14","Cottongarden Bay (Cramer's Park)",17.75918,-64.5862,8.074,8.22,7.93,0.0200000000000001,0.105
"15","Cramer Park",17.75935,-64.58558,8.27337837837838,9.9,7.19,0.611,0.499
"16","Davis Bay",17.76322,-64.83249,8.30573170731707,10.87,7.3,0.761818181818182,0.563636363636364
"17","Divi (Turner Hole Beach)",17.74255,-64.60364,8.30671428571429,9.86,7.31,0.623,0.463
"18","Frederiksted Pier",17.71382,-64.88415,8.27719512195122,10.63,7.36,0.658333333333333,0.445454545454546
"19","Frederiksted Public Beach",17.7162,-64.88443,8.30071428571429,10.25,7.37,0.643333333333333,0.371818181818181
"20","Frederiksted Public Pool",17.69158,-64.89368,8.30852941176471,10.68,7.36,0.694,0.543
"21","Ft. Louise Augusta Beach",17.75537,-64.69245,8.28353658536585,9.71,7.31,0.599090909090909,0.416363636363636
"22","Gallows Bay",17.74657,-64.69841,8.2775641025641,9.3,7.26,0.63,0.486363636363636
"23","Good Hope Beach",17.68375,-64.86057,8.26304878048781,9.64,7.31,0.535833333333333,0.507272727272727
"24","Grapetree Bay (Divi Hotel)",17.74391,-64.60155,8.15,8.18,8.11,0.0159999999999997,0.0350000000000001
"25","Great Pond",17.7209,-64.65193,8.28385714285714,9.52,7.34,0.583,0.442
"26","Great Pond Bay",17.72019,-64.65362,8.076,8.1,8.04,0.00400000000000027,0.0300000000000002
"27","Green Cay Beach",17.76176,-64.66693,8.014,8.08,7.88,0.0160000000000002,0.0900000000000003
"28","Green Cay Marina",17.75997,-64.6683,8.2425,9.94,7.22,0.712,0.515
"29","HOVENSA East Turning Basin, NW Corner",17.7001,-64.74868,8.330375,10.52,7.33,0.581666666666667,0.458181818181818
"30","HOVENSA West Turning Basin, NE Corner",17.7,-64.75098,8.29907894736842,9.98,7.35,0.658,0.423
"31","HOVENSA West Turning Basin, NW Corner",17.69895,-64.75402,8.085,8.13,8.04,0.0180000000000003,0.0400000000000009
"32","Halfpenny  Backreef",17.70323,-64.69811,8.34871428571429,10,7.33,0.651,0.526
"33","Halfpenny Back reef",17.70323,-64.69811,8.161,8.2,8.13,0.00999999999999979,0.0299999999999994
"34","Halfpenny Bay u Manchenil",17.70313,-64.70725,8.109,8.14,8.07,0.00599999999999987,0.0350000000000001
"35","Isaac Bay, Fore reef",17.74613,-64.5799,8.094,8.15,8.02,0.0199999999999999,0.0800000000000001
"36","Jack Bay, Forereef",17.74613,-64.5799,8.30779411764706,9.76,7.31,0.628,0.459
"37","Krause Lagoon Channel",17.69438,-64.76388,8.25290697674419,9.54,7.34,0.511666666666667,0.364545454545454
"38","LBJ (Pump Station) Outfall",17.75938,-64.71495,8.25111111111111,10.15,7.35,0.593636363636364,0.571818181818182
"39","Lagoon Recreation Beach",17.75348,-64.69495,8.304875,9.83,7.31,0.703,0.571
"40","Limetree Bay Container Port",17.69658,-64.75582,8.29791666666667,9.87,7.35,0.548333333333333,0.420909090909091
"41","Long Point Bay",17.6809,-64.84381,8.26058823529412,9.44,7.31,0.571,0.535
"42","Long Reef Back Reef East",17.75378,-64.70412,8.23625,9.21,7.25,0.566363636363636,0.499090909090909
"43","Long Reef Back Reef West",17.75947,-64.72392,8.24223684210526,9.14,7.32,0.479166666666666,0.532727272727273
"44","Long Reef Fore reef East",17.76028,-64.70103,8.11333333333333,8.17,8.07,0.0180000000000003,0.0499999999999998
"45","Long Reef Forereef East",17.76028,-64.70103,8.29972222222222,9.86,7.36,0.656,0.456
"46","Long Reef Forereef West",17.76478,-64.7296,8.284625,10.03,7.35,0.626363636363636,0.495454545454545
"47","Manchenil  Bay",17.70361,-64.70581,8.27328947368421,10.1,7.32,0.589090909090909,0.51
"48","Mill Harbor Condominium Beach",17.75565,-64.72023,8.22035714285714,9.23,7.28,0.493333333333333,0.515454545454545
"49","Protestant Cay Beach",17.74927,-64.70378,8.2803947368421,9.22,7.25,0.569090909090909,0.484545454545455
"50","Public Dump",17.69451,-64.78231,8.262375,9.45,7.31,0.553333333333333,0.422727272727273
"51","Public Wharf",17.74748,-64.70303,8.27,9.8,7.25,0.653636363636364,0.503636363636364
"52","Reef Club Beach",17.75715,-64.60885,8.275125,9.69,7.38,0.523333333333333,0.447272727272727
"53","Robin Bay",17.72259,-64.63396,8.29102564102564,9.93,7.31,0.5875,0.525454545454545
"54","Rum Plant (VI Rum) Outfall",17.67998,-64.82256,8.27162162162162,9.26,7.27,0.605,0.485
"55","Salt River (Columbus  Landing  Beach)",17.77992,-64.7586,8.34132352941177,10.06,7.32,0.808,0.44
"56","Salt River Bay",17.77513,-64.758,8.22292682926829,10.62,7.36,0.739090909090909,0.560909090909091
"57","Salt River Marina",17.77517,-64.76183,8.12607142857143,10.62,7.4,0.754545454545454,0.594545454545454
"58","Sandy Point Public Beach",17.69203,-64.89365,8.107,8.16,8.04,0.0140000000000004,0.0650000000000004
"59","Spoils Island (Ruth Island)",17.68545,-64.76471,8.26,9.96,7.27,0.5075,0.495454545454546
"60","Sprat Hall Beach",17.7356,-64.89095,8.27583333333333,10.62,7.12,0.740833333333333,0.522727272727273
"61","St. Croix Marine",17.74822,-64.69848,8.26846153846154,9.95,7.24,0.610909090909091,0.468181818181818
"62","St. Croix Yacht Club Beach",17.75565,-64.60233,8.26910256410256,9.49,7.19,0.510833333333333,0.46
"63","St. Croix by the Sea",17.76739,-64.73452,8.296125,10.33,7.36,0.654545454545454,0.521818181818182
"64","Tamarind Reef Lagoon",17.75988,-64.66842,8.30548780487805,10.36,7.31,0.6325,0.49
"65","Treatment Plant (POTW) Outfall",17.67218,-64.77294,8.262625,10.12,7.28,0.518333333333333,0.496363636363636
"66","WAPA Intake",17.75073,-64.71278,8.28444444444444,9.26,7.25,0.514166666666667,0.487272727272727
"67","Water Gut Storm Drain",17.74886,-64.71066,8.236375,9.3,7.27,0.528333333333333,0.390909090909091
